"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","Classic",3015754498,"NBA $400 Quarter Jukebox [Just $0.25!] (1/3)",120127888,"2021-12-07 19:30:00",313,243,"$0.50","$0.00",1709,"$0.25","$400.00",442
"NBA","Classic",3015754556,"NBA $400 Quarter Jukebox [Just $0.25!] (2/3)",120127888,"2021-12-07 19:30:00",596,232.75,"$0.00","$0.00",1709,"$0.25","$400.00",442
"NBA","Classic",3015773002,"NBA $400 Quarter Jukebox [Just $0.25!] (3/3)",120127888,"2021-12-07 19:30:00",636,231,"$0.00","$0.00",1709,"$0.25","$400.00",442
"NBA","Classic",3015794098,"NBA $3K Quarter Jukebox [Just $0.25!] (Night) (2/2)",120056535,"2021-12-07 20:30:00",3116,237.75,"$0.50","$0.00",12906,"$0.25","$3,000.00",3419
"NBA","Classic",3015793398,"NBA $3K Quarter Jukebox [Just $0.25!] (Night) (1/2)",120056535,"2021-12-07 20:30:00",7306,219.25,"$0.00","$0.00",12906,"$0.25","$3,000.00",3419
"NBA","Classic",3014433961,"NBA $2K Quarter Jukebox [Just $0.25!] (Night)",120009594,"2021-12-06 22:00:00",8225,194.75,"$0.00","$0.00",9512,"$0.25","$2,000.00",2266
"NBA","Classic",3013713593,"NBA $8K Quarter Jukebox (2/3)",120009505,"2021-12-06 19:00:00",3527,312.75,"$0.50","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3014078708,"NBA $8K Quarter Jukebox (3/3)",120009505,"2021-12-06 19:00:00",3527,312.75,"$0.50","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3013698134,"NBA $8K Quarter Jukebox (1/3)",120009505,"2021-12-06 19:00:00",8345,297.75,"$0.50","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3013722930,"Casual NBA $1 50-50",120024704,"2021-12-06 19:00:00",4,297.75,"$1.80","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",3013698607,"Casual NBA $2 5-Player",120025541,"2021-12-06 19:00:00",1,312.75,"$6.00","$0.00",5,"$2.00","$9.00",2
"NHL","Showdown",3012731009,"NHL Showdown $100 Dime Time [Just $0.10!] (CGY vs VGK)",120025592,"2021-12-05 22:00:00",108,68.05,"$0.30","$0.00",1189,"$0.10","$100.00",277
"NHL","Classic",3012415814,"NHL $100 Dime Time [Just $0.10!] (Turbo) (2/3)",120014411,"2021-12-05 19:30:00",582,74.1,"$0.00","$0.00",916,"$0.10","$100.00",277
